Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.026s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.003s,PASSED
"verifyElementPropertyValue(res, ""title"", title, CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.040s,PASSED
"verifyElementPropertyValue(res, ""content"", content, CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.036s,PASSED
"users = getElementPropertyValue(res, ""users"", CONTINUE_ON_FAILURE)",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.034s,PASSED
users = users.sort({ java.lang.Object user -> ... }),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
userIdList =  }).sort(),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.001s,PASSED
"for ([i = 0, i < userIdList.size(), (i++)])",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.003s,PASSED
,,,,,,,
Test Cases/TC_Create Note_ErrorFields,,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.339s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.002s,PASSED
"req = findTestObject(""API_Create Note"", [""title"":title, ""content"":content, ""userIds"":userIds])",,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.006s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.004s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 14:31:27,25-08-2024 14:31:27,0.002s,PASSED
